text,translation,strength,example_translated,example,audio,image
Kunt u mij helpen?,Can you help me?,Strong,"Excuse me, can you help me? – Yes, of course!","Sorry, kunt u mij helpen? Ja natuurlijk!",https://cdn.busuu.com/media/resized/audio/a_l_str___1609332711.mp3,https://cdn.busuu.com/media/resized/entity/720/a_kuntumehelpenflashcard_1607100478_720.jpg
laat,late,Strong,At the weekend he goes to bed late.,In het weekend gaat hij laat slapen. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1611334031.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610623115_720.jpg
lang,"long, tall",Strong,The street is long.,De straat is lang.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609332633.mp3,https://cdn.busuu.com/media/resized/entity/720/lang_1607081532_720.jpg
lekker,tasty,Strong,He finds fruit tasty.,Hij vindt fruit lekker.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609326504.mp3,https://cdn.busuu.com/media/resized/entity/720/tasty_1606925150_720.jpg
leven,to live,Weak,An elephant lives for a long time.,Een olifant leeft lang.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1613589283.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611154970_720.jpg
lezen,to read,Strong,Jan likes to read difficult books.,Jan leest graag moeilijke boeken.,https://cdn.busuu.com/media/resized/audio/a_l_str___1612778141.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610311936_720.jpg
lunchen,to have lunch,Strong,Do you want to have lunch together today?,Wil je vandaag samen lunchen?,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1611215682.mp3,https://cdn.busuu.com/media/resized/entity/720/lunchen_1610030071_720.jpg
maar,but,Weak,"I like swimming, but my husband doesn't.","Ik houd van zwemmen, maar mijn man niet.",https://cdn.busuu.com/media/resized/audio/a_l_str___1612427844.mp3,https://cdn.busuu.com/media/resized/entity/720/maar_1611287012_720.jpg
maart,March,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/maartapril_1608194206_720.jpg
makkelijk,easy,Strong,The lessons are easy.,De lessen zijn makkelijk.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609404642.mp3,https://cdn.busuu.com/media/resized/entity/720/makkelijk_1607082339_720.jpg
meestal,usually,Strong,We usually eat pizza on Friday.,Wij eten meestal pizza op vrijdag.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611136344.mp3,https://cdn.busuu.com/media/resized/entity/720/meestal_1610516895_720.jpg
meneer,Mr/Sir,Strong,Mr De Vries,meneer De Vries,https://cdn.busuu.com/media/resized/audio/a_l_str___1606140575.mp3,https://cdn.busuu.com/media/resized/entity/720/meneer_1604069171_720.jpg
mevrouw,Ms/Madam,Strong,Ms Jansen,mevrouw Jansen,https://cdn.busuu.com/media/resized/audio/a_l_str___1606142661.mp3,https://cdn.busuu.com/media/resized/entity/720/mevrouw_1604067493_720.jpg
mijn ouders,my parents,Strong,My parents live in Rotterdam.,Mijn ouders wonen in Rotterdam.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609953513.mp3,https://cdn.busuu.com/media/resized/entity/720/dutchfamily_1607598552_720.jpg
moeilijk,difficult,Strong,I find English difficult.,Ik vind Engels moeilijk.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609330437.mp3,https://cdn.busuu.com/media/resized/entity/720/moeilijk_1607082434_720.jpg
mooi,beautiful,Strong,My friends find the film beautiful.,Mijn vrienden vinden de film mooi.,https://cdn.busuu.com/media/resized/audio/a_l_str___1612426137.mp3,https://cdn.busuu.com/media/resized/entity/720/mooi_1610942479_720.jpg
morgen,tomorrow,Strong,Is the shop open tomorrow?,Is de winkel morgen open?,https://cdn.busuu.com/media/resized/audio/a_l_str___1611135212.mp3,https://cdn.busuu.com/media/resized/entity/720/morgen_1609923176_720.jpg
na,after,Strong,After work I'm going to the supermarket.,Na het werk ga ik naar de supermarkt. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1611332262.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610622551_720.jpg
naar het werk gaan,to go to work,Strong,I am not going to work today.,Ik ga vandaag niet naar het werk. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1611331769.mp3,https://cdn.busuu.com/media/resized/entity/720/gaanwerken_1610029807_720.jpg
naar huis gaan,to go home,Strong,At 10 o'clock in the evening I go home.,Om 10 uur 's avonds ga ik naar huis.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1611215724.mp3,https://cdn.busuu.com/media/resized/entity/720/huisgaan_1610033682_720.jpg
nee,no,Strong,"No, thanks.","Nee, dankjewel.",https://cdn.busuu.com/media/resized/audio/a_l_str___1606142866.mp3,https://cdn.busuu.com/media/resized/entity/720/nee_1604042883_720.jpg
"Nee, sorry.","No, I'm sorry.",Strong,,,,https://cdn.busuu.com/media/resized/entity/720/_neesorry_1607100992_720.jpg
negen,nine,Strong,"That's nine euro, please!","Dat is negen euro, alstublieft!",https://cdn.busuu.com/media/resized/audio/a_l_str___1608564115.mp3,https://cdn.busuu.com/media/resized/entity/720/negeneuro_1605014101_720.jpg
nemen,to take,Weak,Gabriel and Louise take the taxi home.,Gabriel en Louise nemen de taxi naar huis.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613669376.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611847400_720.jpg
niets aan te geven,nothing to declare,Weak,You don't have to declare one bottle of wine.,Eén fles wijn hoef je niet aan te geven.,https://cdn.busuu.com/media/resized/audio/a_l_str___1615661779.mp3,https://cdn.busuu.com/media/resized/entity/720/nietsaantegeven_1613465528_720.jpg
nooit,never,Strong,I never watch TV.,Ik kijk nooit tv.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611136327.mp3,https://cdn.busuu.com/media/resized/entity/720/nooit_1610516031_720.jpg
Nou...,Well...,Strong,"Well, I'd like a cup of coffee!","Nou, ik wil graag een kopje koffie!",https://cdn.busuu.com/media/resized/audio/a1_l72_str_66b59fe6879b4968831a38ad7a0731841652248593_1652248593.mp3,https://cdn.busuu.com/media/resized/entity/720/untitleddesign111649242029_1649242029_720.jpg
november,November,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/november_1609858202_720.jpg
nu,now,Strong,I'm having a shower now.,Ik neem nu een douche. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1611333912.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610621713_720.jpg
nul,zero,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/nul_1605009503_720.jpg
of,or,Weak,Do you live in a city or in a village?,Woon jij in een stad of in een dorp?,https://cdn.busuu.com/media/resized/audio/a_l_str___1612427803.mp3,https://cdn.busuu.com/media/resized/entity/720/of_1611286435_720.jpg
oktober,October,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/okt_1609858131_720.jpg
ontbijten,to have breakfast,Strong,Do you have breakfast every morning?,Ontbijt jij elke ochtend?,https://cdn.busuu.com/media/resized/audio/a_l_str___1611135658.mp3,https://cdn.busuu.com/media/resized/entity/720/ontbijten_1610029658_720.jpg
onze kinderen,our children,Strong,Our children study English.,Onze kinderen studeren Engels.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609949782.mp3,https://cdn.busuu.com/media/resized/entity/720/daughter_1607614119_720.jpg
op dit moment,at the moment,Strong,At the moment I don't have a job.,Op dit moment heb ik geen werk.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611333980.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610621909_720.jpg
op tijd zijn,to be on time,Medium,I'm always on time! I find it very important.,Ik ben altijd op tijd! Ik vind het heel belangrijk.,https://cdn.busuu.com/media/resized/audio/a1_l71_str_3baf7c836054459eb6d57b8c15b74d011652247199_1652247199.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelsbarbaraolsen786968911649165776_1649165776_720.jpg
open,open,Strong,The stores are open.,De winkels zijn open.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609404545.mp3,https://cdn.busuu.com/media/resized/entity/720/open_1607081806_720.jpg
opstaan,to get up,Strong,I usually get up early.,Ik sta meestal vroeg op.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611333326.mp3,https://cdn.busuu.com/media/resized/entity/720/opstaan_1610025035_720.jpg
oranje,orange,Strong,Their T-shirts are orange.,Hun T-shirts zijn oranje.,https://cdn.busuu.com/media/resized/audio/a1_l47_str_29f3d927ecd84f429f9886d05ce68bfa1646055140_1646055140.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1987179833_1643888305_720.jpg
overmorgen,the day after tomorrow,Strong,It's my boyfriend's birthday the day after tomorrow.,Mijn vriend is overmorgen jarig.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611135243.mp3,https://cdn.busuu.com/media/resized/entity/720/overmorgenppp_1609924320_720.jpg
patat,fries (Netherlands),Strong,Shall we eat fries today? (Netherlands),Zullen we vandaag patat eten?,https://cdn.busuu.com/media/resized/audio/a_l_str___1609331683.mp3,https://cdn.busuu.com/media/resized/entity/720/patat_1606824152_720.jpg
pintje,beer,Strong,"Four beers, please.","Vier pintjes, alstublieft.",https://cdn.busuu.com/media/resized/audio/a_l_str___1609399518.mp3,https://cdn.busuu.com/media/resized/entity/720/pintje_1606723232_720.jpg
Prima!,Fine!,Strong,,,,https://cdn.busuu.com/media-resources/image/a/pr:exercise_m/plain/s3://busuu-logos-service-media-production/media-resources/image/5fa7fbc0-1800-4cee-ac46-82011718391f.jpg@jpg
radio's,radios,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/radios_1605086320_720.jpg
regenen,to rain,Weak,"I'm taking the car to work today, because it's raining very heavily.","Ik ga vandaag met de auto naar mijn werk, want het regent heel hard.",https://cdn.busuu.com/media-resources/audio/c7fe839b-bb60-4282-a339-3a955ec01a06.mp3,https://cdn.busuu.com/media/resized/entity/720/regenen_1614603656_720.jpg
reizen,to travel,Weak,I like travelling alone.,Ik reis graag alleen.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613667647.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611153479_720.jpg
rijden,to drive / to ride,Weak,The bus to Leeuwarden is not running this morning.,De bus naar Leeuwarden rijdt vanochtend niet.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613670166.mp3,https://cdn.busuu.com/media/resized/entity/720/rijden_1612087480_720.jpg
rood,red,Strong,My favourite bag is red.,Mijn lievelingstas is rood.,https://cdn.busuu.com/media/resized/audio/_a1_l47_str_4720ca82c41b4de5a495086111ffa41e1646051142_1646051142.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_7584708911_1644320449_720.jpg
rustig,"quiet, calm",Strong,The office is quiet.,Het kantoor is rustig.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609404576.mp3,https://cdn.busuu.com/media/resized/entity/720/rustig_1607082147_720.jpg
saai,boring,Medium,I find the game very boring.,Ik vind het spel heel saai.,https://cdn.busuu.com/media/resized/audio/a_l_str___1612426272.mp3,https://cdn.busuu.com/media/resized/entity/720/saai_1610949980_720.jpg
samen,together,Strong,Are we going to the cinema together?,Gaan we samen naar de bioscoop?,https://cdn.busuu.com/media/resized/audio/a_l_str___1612424624.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610307568_720.jpg
september,September,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/septemberoktober_1609858019_720.jpg
soms,sometimes,Strong,Sometimes I don't eat breakfast.,Ik ontbijt soms niet.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1611215888.mp3,https://cdn.busuu.com/media/resized/entity/720/soms_1610516065_720.jpg
sorry,sorry / excuse me,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/sorry_1604295997_720.jpg
sporten,to do sport,Medium,My grandad and grandma do sport every day.,Mijn opa en oma sporten elke dag.,https://cdn.busuu.com/media/resized/audio/a1_l73_str_1871028e34524f34a88686a65042b7151652249403_1652249403.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_23403592311650281178_1650281178_720.jpg
Spreekt zij Duits?,Does she speak German?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/spreektzijduits__1605274849_720.jpg
spreken,to speak,Strong,We speak Dutch.,Wij spreken Nederlands.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608717882.mp3,https://cdn.busuu.com/media/resized/entity/720/spreken_1605269991_720.jpg
Spreken jullie Frans?,Do you all speak French?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/sprekenjulliefrans_1605275017_720.jpg
stad,city,Strong,You are from a city.,Jullie komen uit een stad.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608717599.mp3,https://cdn.busuu.com/media/resized/entity/720/stad_1605693323_720.jpg
stamppot,stamppot (mashed potatoes with vegetables),Strong,We make stamppot with potatoes and vegetables.,We maken stamppot met aardappelen en groenten.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608807799.mp3,https://cdn.busuu.com/media/resized/entity/720/stamppot_1606826505_720.jpg
stom,stupid,Strong,I find the game stupid.,Ik vind het spelletje stom.,https://cdn.busuu.com/media/resized/audio/a_l_str___1612426084.mp3,https://cdn.busuu.com/media/resized/entity/720/stom_1610942100_720.jpg
stoppen,to stop,Weak,The bus doesn't stop in the city centre.,De bus stopt niet in het centrum. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1613667580.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611146490_720.jpg
straks,later,Medium,Are you going to work later?,Ga je straks naar het werk?,https://cdn.busuu.com/media/resized/audio/a_l_str___1611333898.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610623345_720.jpg
supermarkt,supermarket,Strong,Martijn buys vegetables at the supermarket.,Martijn koopt groenten in de supermarkt.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608808007.mp3,https://cdn.busuu.com/media/resized/entity/720/supermarkt_1606980290_720.jpg
tanden poetsen,to brush your teeth,Strong,I brush my teeth every day.,Ik poets mijn tanden elke dag.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611135595.mp3,https://cdn.busuu.com/media/resized/entity/720/brushing_1610028706_720.jpg
te laat zijn,to be late,Medium,Nele is often late.,Nele is vaak te laat.,https://cdn.busuu.com/media/resized/audio/a1_l71_str_935f116f139a444094d03723e1a876f01652247260_1652247260.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_113160633811649166051_1649166052_720.jpg
thee,tea,Strong,"Tea for me, please.","Voor mij thee, alsjeblieft.",https://cdn.busuu.com/media/resized/audio/a_l_str___1608807411.mp3,https://cdn.busuu.com/media/resized/entity/720/thee_1606721958_720.jpg
tien,ten,Strong,Hugo is number ten.,Hugo is nummer 10.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608564127.mp3,https://cdn.busuu.com/media/resized/entity/720/tien_1605014335_720.jpg
tomaat,tomato,Strong,I buy tomatoes at the supermarket.,Ik koop tomaten in de supermarkt.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609331892.mp3,https://cdn.busuu.com/media/resized/entity/720/tomato_1606982658_720.jpg
trakteren,to treat,Strong,I'm treating everyone because it's my birthday!,"Ik trakteer iedereen, want het is mijn verjaardag!",https://cdn.busuu.com/media/resized/audio/a_l_str___1610735894.mp3,https://cdn.busuu.com/media/resized/entity/720/trakteren_1608643331_720.jpg
Turkije,Türkiye,Strong,"She's from Türkiye, she's Turkish.","Zij komt uit Turkije, ze is Turks.",https://cdn.busuu.com/media/resized/audio/a_l_str___1608564382.mp3,https://cdn.busuu.com/media/resized/entity/720/turkije_1605176235_720.jpg
tv kijken,to watch TV,Strong,We always watch TV at night.,We kijken 's avonds altijd tv.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611333385.mp3,https://cdn.busuu.com/media/resized/entity/720/tvkijken_1610034057_720.jpg
twaalf,twelve,Strong,He lives at number 12.,Hij woont op nummer 12.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609332462.mp3,https://cdn.busuu.com/media/resized/entity/720/jpg_1607081519_720.jpg
twee,two,Strong,There are two women.,Er zijn twee vrouwen.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608563984.mp3,https://cdn.busuu.com/media/resized/entity/720/twee_vrouwen_1605010233_720.jpg
twintig,twenty,Strong,That costs twenty euro.,Dat kost twintig euro.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609330243.mp3,https://cdn.busuu.com/media/resized/entity/720/jpg_1607083858_720.jpg
"U kunt gewoon Nederlands praten, hoor!",You can just speak Dutch!,Weak,,,,https://cdn.busuu.com/media-resources/image/a/pr:exercise_m/plain/s3://busuu-logos-service-media-production/media-resources/image/052f76e9-9be9-46e6-93c7-fceaa389fad6.jpg@jpg
uitchecken,to check out,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1613461363_720.jpg
uitstappen,to get off,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/uit_1612285206_720.jpg
vaak,often,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/hoevaak_1610517275_720.jpg
vandaag,today,Strong,Can I book a table at eight today?,Kan ik vandaag om acht uur een tafel reserveren?,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1611215127.mp3,https://cdn.busuu.com/media/resized/entity/720/vandaag_1609922894_720.jpg
veertien,fourteen,Strong,We celebrate Valentine's Day on 14 February.,We vieren Valentijnsdag op veertien februari.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608808793.mp3,https://cdn.busuu.com/media/resized/entity/720/jpg_1607082399_720.jpg
verliezen,to lose,Medium,We're losing the match.,We verliezen de wedstrijd.,https://cdn.busuu.com/media/resized/audio/a1_l74_str_7ef8c0b4a17c40978bdda2cda528f56b1652258623_1652258623.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_49448087511650354877_1650354877_720.jpg
vertrek,departure,Weak,"The sign says: ""Departure 11:15"".",Op het bord staat: Vertrek 11.15 uur.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613671693.mp3,https://cdn.busuu.com/media/resized/entity/720/vertrek_1612342021_720.jpg
vertrekken,"to leave, to depart",Weak,The train leaves at 8:10.,De trein vertrekt om 8.10 uur.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613667556.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611146032_720.jpg
vier,four,Strong,I have four children.,Ik heb vier kinderen.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608564015.mp3,https://cdn.busuu.com/media/resized/entity/720/vier_kinderen_1605011462_720.jpg
vieren,to celebrate,Strong,We celebrate my birthday at a restaurant.,We vieren mijn verjaardag in een restaurant.,https://cdn.busuu.com/media/resized/audio/str___1610814368.mp3,https://cdn.busuu.com/media/resized/entity/720/vieren_1608643064_720.jpg
vies,disgusting,Strong,The broccoli is disgusting.,De broccoli is vies.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608807953.mp3,https://cdn.busuu.com/media/resized/entity/720/broccoli_1606925167_720.jpg
vijf,five,Strong,There are five boys sitting on the bench.,Er zitten vijf jongens op de bank.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608564052.mp3,https://cdn.busuu.com/media/resized/entity/720/vijf_jongens_1605011764_720.jpg
vis,fish,Strong,She buys fish at the market.,Ze koopt vis op de markt.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609331726.mp3,https://cdn.busuu.com/media/resized/entity/720/vis_1606825943_720.jpg
vlees,meat,Strong,He's a vegetarian. He doesn't eat meat.,Hij is vegetariër. Hij eet geen vlees.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608807781.mp3,https://cdn.busuu.com/media/resized/entity/720/vlees_1606825777_720.jpg
volgend,next,Strong,Next week we're going on holiday.,Volgende week gaan we op vakantie. ,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1611215928.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610619840_720.jpg
voor,before,Strong,I brush my teeth before I go to sleep.,Ik poets mijn tanden voor ik ga slapen.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611333995.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610622366_720.jpg
vorig,"last, previous",Medium,Last month it was my birthday.,Vorige maand was ik jarig.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1611215949.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610620031_720.jpg
vrijdag,Friday,Strong,I don't work on Friday.,Op vrijdag werk ik niet.,https://cdn.busuu.com/media/resized/audio/str___1610738958.mp3,https://cdn.busuu.com/media/resized/entity/720/vrijdag_1608270999_720.jpg
vroeg,early,Strong,She usually gets up early.,Zij staat meestal vroeg op.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611136982.mp3,https://cdn.busuu.com/media-resources/image/a/pr:exercise_m/plain/s3://busuu-logos-service-media-production/media-resources/image/f767b24b-0942-44f1-aa95-7e6be7b706e5.jpg@jpg
waaien,to blow (used for the wind only),Weak,It's often very windy in autumn.,Het waait vaak hard in de herfst.,https://cdn.busuu.com/media-resources/audio/e6f87dfa-1bd8-4031-91a0-55a919177e0a.mp3,https://cdn.busuu.com/media/resized/entity/720/waaien_1614603791_720.jpg
Waar kom jij vandaan?,Where are you from?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/waarkomjijvandaan_1606278453_720.jpg
Waar komen jullie vandaan?,Where are you all from?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/waarkomenjullievandaan_1606278511_720.jpg
Waar werk jij?,Where do you work?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/ik_heet_lucas_en_jij_1604918402_720.jpg
Waar woon jij?,Where do you live?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/waarwoonjij_1606982819_720.jpg
Waarom?,Why...?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1612450262_720.jpg
wakker worden,to wake up,Strong,Hugo wakes up at 7 o'clock every day.,Hugo wordt elke dag om 7 uur wakker.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1611215551.mp3,https://cdn.busuu.com/media/resized/entity/720/wakkerwordend_1610024856_720.jpg
Wanneer ben je jarig?,When is your birthday?,Strong,When is your birthday? — My birthday is 15 May.,Wanneer ben je jarig? — Ik ben jarig op 15 mei.,https://cdn.busuu.com/media/resized/audio/a_l_str___1610735956.mp3,https://cdn.busuu.com/media/resized/entity/720/wanneer_1608639138_720.jpg
Wanneer?,When...?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1612450269_720.jpg
want,because,Weak,"Dutch people like to cycle, because the country is very flat.","Nederlanders fietsen graag, want het land is heel plat.",https://cdn.busuu.com/media/resized/audio/a_l_str___1612354583.mp3,https://cdn.busuu.com/media/resized/entity/720/want_1611287118_720.jpg
Wat doe jij?,What do you do?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/watdoejij_1606114976_720.jpg
Wat heb je gisteren gedaan?,What did you do yesterday?,Weak,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock_191808179311659534019_1659534019_720.jpg
Wat is je favoriete sport?,What's your favourite sport?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/pexelsjeshootscom743211650281087_1650281087_720.jpg
Wat kun je goed?,What are you good at?,Weak,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock_27396356911650539434_1650539434_720.jpg
Wat zit er in je tas?,What's in your bag?,Strong,What's in your bag? - In my bag are my mobile phone and my glasses. ,Wat zit er in je tas? - In mijn tas zitten mijn mobieltje en mijn bril.,https://cdn.busuu.com/media/resized/audio/a1_l45_str_ec7247beaad945a583a2d04fb4a6c92e1646046473_1646046473.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1667976469_1643805313_720.jpg
Wat?,What...?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/wat_1612450298_720.jpg
Welke talen spreek jij?,Which languages do you speak?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/welketalenspreekjij__1605270846_720.jpg
Wij zijn in Leiden.,We are in Leiden (Dutch city).,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/leiden_1606122046_720.jpg
wijn,wine,Strong,"Three glasses of red wine, please.","Drie glazen rode wijn, alsjeblieft.",https://cdn.busuu.com/media/resized/audio/a_l_str___1608807451.mp3,https://cdn.busuu.com/media/resized/entity/720/wijn_1606722406_720.jpg
Wil je...?,Do you want to...?,Strong,Do you want to meet up on Friday?,Wil je vrijdag afspreken?,https://cdn.busuu.com/media/resized/audio/a_l_str___1610736271.mp3,https://cdn.busuu.com/media/resized/entity/720/wilje_1609407103_720.jpg
winnen,to win,Strong,The team rarely wins a match.,Het team wint zelden een wedstrijd.,https://cdn.busuu.com/media/resized/audio/a1_l74_str_168b818188d04062bea11c2b64571e611652258572_1652258573.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_7919962481650354585_1650354585_720.jpg
wit,white,Strong,His bank card is white.,Zijn pinpas is wit.,https://cdn.busuu.com/media/resized/audio/a1_l47_str_965b9e4834ad437a86605304b39e9dab1646050631_1646050631.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_508347577_1644319956_720.jpg
zelden,rarely,Strong,My sister rarely drinks wine.,Mijn zus drinkt zelden wijn.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611136360.mp3,https://cdn.busuu.com/media/resized/entity/720/zelden_1610516963_720.jpg
zes,six,Strong,six eggs,zes eieren,https://cdn.busuu.com/media/resized/audio/a_l_str___1608564067.mp3,https://cdn.busuu.com/media/resized/entity/720/sixeggs_1605012030_720.jpg
zeven,seven,Strong,There are seven days in a week.,Er zijn zeven dagen in een week.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608564087.mp3,https://cdn.busuu.com/media/resized/entity/720/dagen_1605013299_720.jpg
zeventien,seventeen,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/jpg_1607083350_720.jpg
Zij is Amerikaans.,She is American.,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/zijisamerikaans_1605173964_720.jpg
Zij komen uit Frankrijk.,They come from France.,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/zijkomenuitfrankrijk_1605693273_720.jpg
Zij zijn Nederlands.,They are Dutch.,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/zijzijnnederlands_1605174978_720.jpg
zijn,to be,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/zijn_1606297799_720.jpg
zijn dochter,his daughter,Strong,His daughter works in an office.,Zijn dochter werkt in een kantoor.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609949690.mp3,https://cdn.busuu.com/media/resized/entity/720/zijndochterwerkt_1607599562_720.jpg
zo meteen,soon,Strong,We're going home soon.,We gaan zo meteen naar huis.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1611215968.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610620781_720.jpg
zullen,shall / will,Weak,Shall we eat together tomorrow?,Zullen we morgen samen eten?,https://cdn.busuu.com/media/resized/audio/a_l_str___1612354616.mp3,https://cdn.busuu.com/media/resized/entity/720/eten_1611107383_720.jpg
zwart,black,Strong,Your black bag is very pretty!,Ik vind jouw zwarte tas mooi!,https://cdn.busuu.com/media/resized/audio/a1_l47_str_dca5c94e14294689be614979193992d81646050673_1646050673.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_730743970_1643890702_720.jpg
één,one,Strong,You are number one!,Jij bent nummer één!,https://cdn.busuu.com/media/resized/audio/a_l_str___1608563967.mp3,https://cdn.busuu.com/media/resized/entity/720/nummer_een_1605010071_720.jpg
